edit,n_changed,mean_delta_fp_score,frac_score_down,frac_score_up,mean_before,mean_after
strip_question,38,2.0451476769410777e-17,0.0,0.0,0.7913129387740856,0.7913129387740857
remove_housing_lexicon,105,-0.07686900244897034,0.7428571428571429,0.02857142857142857,0.7686662372047848,0.6917972347558143
keep_housing_neutralize_opposition,9,0.014698862544508287,0.0,0.3333333333333333,0.7216316211335142,0.7363304836780225
add_explicit_opposition,117,-0.04034211051660747,0.6153846153846154,0.0,0.7631833180611425,0.7228412075445351
near_to_far_proximity,7,0.07919475902992901,0.0,0.7142857142857143,0.815475029469894,0.894669788499823
