category,gap_pp,ci_lo,ci_hi,gold_positives,shot_type
not in my backyard,5.737704918032787,4.4496487119437935,7.0257611241217806,46,zero_shot
provide a fact or claim,-20.725995316159253,-23.185011709601877,-18.20843091334895,1423,zero_shot
express their opinion,13.056206088992973,10.71428571428572,15.458138173302107,910,zero_shot
harmful generalization,4.27400468384075,2.6346604215456675,5.85480093676815,122,zero_shot
not in my backyard,2.7614571092831963,1.762632197414806,3.8190364277320796,42,few_shot
provide a fact or claim,-7.050528789659227,-9.34195064629847,-4.641598119858992,1420,few_shot
express their opinion,19.50646298472385,17.03877790834313,21.915393654524085,907,few_shot
harmful generalization,6.756756756756756,5.111633372502938,8.462103407755574,118,few_shot
