category,vote_threshold,gap_pp,f1,pi_ref,pi_pred
not in my backyard,0.1667,20.960187353629976,0.15555555555555553,2.693208430913349,23.653395784543328
not in my backyard,0.3333,20.960187353629976,0.15555555555555553,2.693208430913349,23.653395784543328
not in my backyard,0.5,5.737704918032787,0.2842105263157895,2.693208430913349,8.430913348946136
not in my backyard,0.6667,-1.873536299765808,0.23333333333333334,2.693208430913349,0.819672131147541
not in my backyard,0.8333,-1.873536299765808,0.23333333333333334,2.693208430913349,0.819672131147541
not in my backyard,1.0,-2.5761124121779857,0.08333333333333333,2.693208430913349,0.117096018735363
provide a fact or claim,0.1667,2.927400468384078,0.8915745856353592,83.31381733021077,86.24121779859485
provide a fact or claim,0.3333,2.927400468384078,0.8915745856353592,83.31381733021077,86.24121779859485
provide a fact or claim,0.5,-20.725995316159253,0.7792937399678973,83.31381733021077,62.58782201405152
provide a fact or claim,0.6667,-69.14519906323184,0.27627627627627627,83.31381733021077,14.168618266978921
provide a fact or claim,0.8333,-69.14519906323184,0.27627627627627627,83.31381733021077,14.168618266978921
provide a fact or claim,1.0,-80.91334894613583,0.05054644808743169,83.31381733021077,2.4004683840749412
express their opinion,0.1667,30.62060889929742,0.7511737089201879,53.278688524590166,83.89929742388759
express their opinion,0.3333,30.62060889929742,0.7511737089201879,53.278688524590166,83.89929742388759
express their opinion,0.5,13.056206088992973,0.78218306412139,53.278688524590166,66.33489461358315
express their opinion,0.6667,-26.580796252927403,0.582723279648609,53.278688524590166,26.697892271662766
express their opinion,0.8333,-26.580796252927403,0.582723279648609,53.278688524590166,26.697892271662766
express their opinion,1.0,-45.66744730679157,0.2230769230769231,53.278688524590166,7.611241217798595
harmful generalization,0.1667,21.13583138173302,0.3239669421487604,7.142857142857142,28.278688524590162
harmful generalization,0.3333,21.13583138173302,0.3239669421487604,7.142857142857142,28.278688524590162
harmful generalization,0.5,4.27400468384075,0.35331230283911674,7.142857142857142,11.416861826697893
harmful generalization,0.6667,-6.26463700234192,0.11678832116788322,7.142857142857142,0.8782201405152225
harmful generalization,0.8333,-6.26463700234192,0.11678832116788322,7.142857142857142,0.8782201405152225
harmful generalization,1.0,-7.02576112412178,0.016129032258064516,7.142857142857142,0.117096018735363
