category,vote_threshold,gap_pp,f1,pi_ref,pi_pred
not in my backyard,0.1667,15.217391304347824,0.1982507288629738,2.4676850763807283,17.685076380728553
not in my backyard,0.3333,15.217391304347824,0.1982507288629738,2.4676850763807283,17.685076380728553
not in my backyard,0.5,2.7614571092831963,0.35114503816793896,2.4676850763807283,5.229142185663925
not in my backyard,0.6667,-2.056404230317274,0.16326530612244897,2.4676850763807283,0.4112808460634548
not in my backyard,0.8333,-2.056404230317274,0.16326530612244897,2.4676850763807283,0.4112808460634548
not in my backyard,1.0,-2.4676850763807283,0.0,2.4676850763807283,0.0
provide a fact or claim,0.1667,8.460634547591074,0.8981233243967829,83.43125734430082,91.8918918918919
provide a fact or claim,0.3333,8.460634547591074,0.8981233243967829,83.43125734430082,91.8918918918919
provide a fact or claim,0.5,-7.050528789659227,0.848529411764706,83.43125734430082,76.38072855464159
provide a fact or claim,0.6667,-57.226792009400704,0.4512325830653805,83.43125734430082,26.204465334900117
provide a fact or claim,0.8333,-57.226792009400704,0.4512325830653805,83.43125734430082,26.204465334900117
provide a fact or claim,1.0,-76.38072855464159,0.15194805194805194,83.43125734430082,7.050528789659224
express their opinion,0.1667,34.018801410105745,0.737150020894275,53.29024676850764,87.3090481786134
express their opinion,0.3333,34.018801410105745,0.737150020894275,53.29024676850764,87.3090481786134
express their opinion,0.5,19.50646298472385,0.7558247903075489,53.29024676850764,72.7967097532315
express their opinion,0.6667,-24.559341950646303,0.5630372492836677,53.29024676850764,28.73090481786134
express their opinion,0.8333,-24.559341950646303,0.5630372492836677,53.29024676850764,28.73090481786134
express their opinion,1.0,-44.94712103407756,0.21353670162059102,53.29024676850764,8.343125734430082
harmful generalization,0.1667,23.20799059929495,0.30110935023771784,6.933019976498238,30.141010575793185
harmful generalization,0.3333,23.20799059929495,0.30110935023771784,6.933019976498238,30.141010575793185
harmful generalization,0.5,6.756756756756756,0.3988603988603988,6.933019976498238,13.689776733254993
harmful generalization,0.6667,-5.757931844888367,0.18840579710144925,6.933019976498238,1.1750881316098707
harmful generalization,0.8333,-5.757931844888367,0.18840579710144925,6.933019976498238,1.1750881316098707
harmful generalization,1.0,-6.815511163337251,0.016666666666666666,6.933019976498238,0.11750881316098707
