category,gap_pp,ci_lo,ci_hi,n,gold_positives
not in my backyard,5.737704918032787,4.4496487119437935,7.0257611241217806,1708,46
provide a fact or claim,-20.725995316159253,-23.185011709601877,-18.20843091334895,1708,1423
express their opinion,13.056206088992973,10.71428571428572,15.458138173302107,1708,910
harmful generalization,4.27400468384075,2.6346604215456675,5.85480093676815,1708,122
