bin_lo,bin_hi,count,mean_vote_fraction,empirical_positive_rate
0.0,0.1,43,0.0,0.046511627906976744
0.1,0.2,173,0.16666666666666666,0.1329479768786127
0.2,0.30000000000000004,0,,
0.30000000000000004,0.4,247,0.33333333333333337,0.2874493927125506
0.4,0.5,0,,
0.5,0.6000000000000001,381,0.5,0.48031496062992124
0.6000000000000001,0.7000000000000001,369,0.6666666666666666,0.6368563685636857
0.7000000000000001,0.8,0,,
0.8,0.9,347,0.8333333333333333,0.8097982708933718
0.9,1.0,142,1.0,0.7887323943661971
