variant,n,pi_ref,pi_model,gap_pp,gold_pos,pred_pos,source
A,1698,2.4734982332155475,40.04711425206125,37.5736160188457,42,680,existing_qwen_zero_shot_none_flags
B,1698,2.4734982332155475,12.661955241460543,10.188457008244995,42,215,mlx_reinference
C,1698,2.4734982332155475,42.40282685512368,39.92932862190813,42,720,mlx_reinference
