City,Total Comments,Express Opinion (%),Societal Critique (%),Solutions (%),Deserving/Undeserving (%),Racist (%)
portland,6618,76.56391659111515,24.992444847385915,61.04563312178905,10.426110607434271,0.04533091568449683
fayetteville,1043,85.52253116011505,28.28379674017258,63.08724832214765,13.902205177372961,0.0
scranton,514,76.07003891050583,23.346303501945524,40.07782101167315,13.813229571984436,0.0
south bend,330,77.27272727272727,13.636363636363635,75.15151515151514,8.484848484848486,0.0
el paso,284,73.94366197183099,18.30985915492958,64.7887323943662,15.845070422535212,0.35211267605633806
rockford,243,67.48971193415639,25.925925925925924,58.0246913580247,12.345679012345679,0.0
buffalo,135,81.48148148148148,23.703703703703706,70.37037037037037,9.62962962962963,0.0
san francisco,14,100.0,42.857142857142854,42.857142857142854,28.57142857142857,0.0
